interaction_id	host_taxid	host_organism	host_uniprot	host_gene	virus_taxid	virus_organism	virus_uniprot	virus_gene	interaction_type	detection_method	publication	publication_id	source_database	confidence
intact:EBI-8554000|mint:MINT-15747	9606	human	Q13363	CTBP1	28285	ade05	P03255		"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Schaeper et al. (1995)	mint:MINT-5220298|pubmed:7479821|doi:10.1073/pnas.92.23.10467	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
intact:EBI-7406154|mint:MINT-15579	9606	human	P12931	SRC	10090	mouse	P25962	Adrb3	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Cao et al. (2000)	pubmed:11013230|mint:MINT-5213034	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-7406203|mint:MINT-15580	9606	human	P12931	SRC	10090	mouse	P25962	Adrb3	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Cao et al. (2000)	pubmed:11013230|mint:MINT-5213034	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-7418308|mint:MINT-15775	9606	human	P19793	RXRA	10407	hbv	Q4AE16	X	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Kong et al. (2000)	pubmed:11042264|mint:MINT-5213108	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.44
intact:EBI-8676027|mint:MINT-18936	9606	human	P01730	CD4	11676	9hiv1	O09528	vpu	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Margottin et al. (1998)	mint:MINT-6547997|pubmed:9660940	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-8676073|mint:MINT-13751	9606	human	Q9Y297	BTRC	11707	hv1h3	P69700	vpu	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Margottin et al. (1998)	mint:MINT-6547997|pubmed:9660940	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
intact:EBI-8676097|mint:MINT-16485	9606	human	P01730	CD4	11707	hv1h3	P69700	vpu	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Margottin et al. (1998)	mint:MINT-6547997|pubmed:9660940	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-8676139|mint:MINT-13750	9606	human	Q9Y297	BTRC	11707	hv1h3	P69700	vpu	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Margottin et al. (1998)	mint:MINT-6547997|pubmed:9660940	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
intact:EBI-8676171|mint:MINT-18809	9606	human	Q9Y297	BTRC	11676	9hiv1	O09528	vpu	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Margottin et al. (1998)	mint:MINT-6547997|pubmed:9660940	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8676213|mint:MINT-13749	9606	human	Q9Y297	BTRC	11707	hv1h3	P69700	vpu	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Margottin et al. (1998)	mint:MINT-6547997|pubmed:9660940	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
intact:EBI-8630003|mint:MINT-14737	9606	human	P49023	PXN	337052	bpv1	P06931	E6	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Tong et al. (1997)	mint:MINT-5221446|pubmed:9114003	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.74
intact:EBI-7375055|mint:MINT-16392	9606	human	O15350	TP73	10090	mouse	P63166	Sumo1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Minty et al. (2000)	pubmed:10961991|mint:MINT-5212933	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8622220|mint:MINT-13977|imex:IM-13919-1	9606	human	P08631	HCK	11679	hv112	P04324	nef	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0049""(filter binding)"	Saksela et al. (1995)	mint:MINT-5220623|pubmed:7859737|imex:IM-13919	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8622286|mint:MINT-13978|imex:IM-13919-2	9606	human	P08631	HCK	11679	hv112	P04324	nef	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Saksela et al. (1995)	mint:MINT-5220623|pubmed:7859737|imex:IM-13919	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-7008936|mint:MINT-16625	9606	human	Q13363	CTBP1	7227	drome	P28166	zfh1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Postigo et al. (1999)	pubmed:10359772|mint:MINT-5211528	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-7473283|mint:MINT-19269	9606	human	Q96CV9	OPTN	9615	canlf	P61007	RAB8A	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Hattula et al. (2000)	pubmed:11137014|mint:MINT-5213395	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.53
intact:EBI-7473400|mint:MINT-19268	9606	human	Q96CV9	OPTN	9615	canlf	P61007	RAB8A	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Hattula et al. (2000)	pubmed:11137014|mint:MINT-5213395	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.53
intact:EBI-7057795|mint:MINT-17529	9606	human	P36507	MAP2K2	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7057821|mint:MINT-14037	9606	human	P08238	HSP90AB1	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-7057831|mint:MINT-16002	9606	human	Q02750	MAP2K1	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7057852|mint:MINT-17370	9606	human	P08107	HSPA1A	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-7057873|mint:MINT-13837	9606	human	Q16543	CDC37	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-7057841|mint:MINT-17608	9606	human	P27361	MAPK3	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-7057863|mint:MINT-13707	9606	human	P31946	YWHAB	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.63
intact:EBI-7057889|mint:MINT-13706	9606	human	P31946	YWHAB	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.63
intact:EBI-7057937|mint:MINT-17528	9606	human	P36507	MAP2K2	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-7057921|mint:MINT-16001	9606	human	Q02750	MAP2K1	10090	mouse	Q61097	Ksr1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Stewart et al. (1999)	pubmed:10409742|mint:MINT-5211677	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-8620246|mint:MINT-14159	9606	human	Q00526	CDK3	7227	drome	P91654	dap	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Finley et al. (1994)	mint:MINT-5220608|pubmed:7809159|doi:10.1073/pnas.91.26.12980	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8620261|mint:MINT-16871	9606	human	Q00526	CDK3	7227	drome	Q24158	CycD	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Finley et al. (1994)	mint:MINT-5220608|pubmed:7809159|doi:10.1073/pnas.91.26.12980	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8620231|mint:MINT-14850	9606	human	Q00526	CDK3	7227	drome	Q24152	Cks30A	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Finley et al. (1994)	mint:MINT-5220608|pubmed:7809159|doi:10.1073/pnas.91.26.12980	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8620463|mint:MINT-14680	9606	human	P06493	CDK1	7227	drome	Q24152	Cks30A	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Finley et al. (1994)	mint:MINT-5220608|pubmed:7809159|doi:10.1073/pnas.91.26.12980	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8620418|mint:MINT-16202	9606	human	P11802	CDK4	7227	drome	Q24158	CycD	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Finley et al. (1994)	mint:MINT-5220608|pubmed:7809159|doi:10.1073/pnas.91.26.12980	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8654804|mint:MINT-14371	9606	human	Q10567	AP1B1	11679	hv112	P04324	nef	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Greenberg et al. (1998)	pubmed:9811611|mint:MINT-6548320	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8654828|mint:MINT-14372	9606	human	Q10567	AP1B1	11679	hv112	P04324	nef	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Greenberg et al. (1998)	pubmed:9811611|mint:MINT-6548320	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-7819959|mint:MINT-14591	9606	human	Q99683	MAP3K5	11679	hv112	P04324	nef	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Geleziunas et al. (2001)	pubmed:11298454|mint:MINT-5213930	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-7820020|mint:MINT-14592	9606	human	Q99683	MAP3K5	11679	hv112	P04324	nef	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Geleziunas et al. (2001)	pubmed:11298454|mint:MINT-5213930	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8673000|mint:MINT-16242	9606	human	Q92993	KAT5	11679	hv112	P04326	tat	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Kamine et al. (1996)	pubmed:8607265|mint:MINT-5220951	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8561516|mint:MINT-16809	9606	human	Q07666	KHDRBS1	9031	chick	P00523	SRC	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Weng et al. (1994)	mint:MINT-5220322|pubmed:7516469	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.44
intact:EBI-8561584|mint:MINT-17269	9606	human	P29353	SHC1	9031	chick	P00523	SRC	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Weng et al. (1994)	mint:MINT-5220322|pubmed:7516469	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.44
intact:EBI-8561599|mint:MINT-15132	9606	human	P06241	FYN	10116	rat	P61980	Hnrnpk	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Weng et al. (1994)	mint:MINT-5220322|pubmed:7516469	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.47
intact:EBI-8561634|mint:MINT-15994	9606	human	P07948	LYN	10116	rat	P61980	Hnrnpk	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Weng et al. (1994)	mint:MINT-5220322|pubmed:7516469	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.47
intact:EBI-8561714|mint:MINT-15995	9606	human	P07948	LYN	10116	rat	P61980	Hnrnpk	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0045""(experimental interaction detection)"	Weng et al. (1994)	mint:MINT-5220322|pubmed:7516469	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.47
intact:EBI-8561695|mint:MINT-15133	9606	human	P06241	FYN	10116	rat	P61980	Hnrnpk	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0045""(experimental interaction detection)"	Weng et al. (1994)	mint:MINT-5220322|pubmed:7516469	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.47
intact:EBI-8650104|mint:MINT-18539	9606	human	Q16667	CDKN3	559292	yeast	P00546	CDC28	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Gyuris et al. (1993)	mint:MINT-5220759|pubmed:8242750	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.37
intact:EBI-8625136|mint:MINT-17457	9606	human	Q16637	SMN1	10090	mouse	P62315	Snrpd1	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625149|mint:MINT-17507	9606	human	Q16637	SMN1	10090	mouse	P62307	Snrpf	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8625178|mint:MINT-15010	9606	human	Q16637	SMN1	10090	mouse	P62317	Snrpd2	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625191|mint:MINT-16620	9606	human	Q16637	SMN1	9031	chick	P62303	SNRPE	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8625244|mint:MINT-15865	9606	human	Q16637	SMN1	10090	mouse	P62320	Snrpd3	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625266|mint:MINT-16621	9606	human	Q16637	SMN1	9031	chick	P62303	SNRPE	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8625294|mint:MINT-15867	9606	human	Q16637	SMN1	10090	mouse	P62320	Snrpd3	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625332|mint:MINT-15012	9606	human	Q16637	SMN1	10090	mouse	P62317	Snrpd2	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625372|mint:MINT-17459	9606	human	Q16637	SMN1	10090	mouse	P62315	Snrpd1	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625385|mint:MINT-17508	9606	human	Q16637	SMN1	10090	mouse	P62307	Snrpf	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8625435|mint:MINT-15011	9606	human	Q16637	SMN1	10090	mouse	P62317	Snrpd2	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0045""(experimental interaction detection)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625448|mint:MINT-17458	9606	human	Q16637	SMN1	10090	mouse	P62315	Snrpd1	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0045""(experimental interaction detection)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-8625461|mint:MINT-15866	9606	human	Q16637	SMN1	10090	mouse	P62320	Snrpd3	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0045""(experimental interaction detection)"	Liu et al. (1997)	pubmed:9323129|mint:MINT-5221682	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.56
intact:EBI-7386580|mint:MINT-16005	9606	human	P04792	HSPB1	9598	pantr	P99998	CYCS	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Bruey et al. (2000)	pubmed:10980706|mint:MINT-5212985	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-7986722|mint:MINT-16786	9606	human	Q07817	BCL2L1	10090	mouse	P70444	Bid	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Cheng et al. (2001)	pubmed:11583631|mint:MINT-5214629	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.40
intact:EBI-8668594|mint:MINT-18164	9606	human	Q15628	TRADD	10090	mouse	Q61160	Fadd	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0018""(two hybrid)"	Hsu et al. (1996)	mint:MINT-5220916|pubmed:8565075	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-8668618|mint:MINT-18165	9606	human	Q15628	TRADD	10090	mouse	Q61160	Fadd	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Hsu et al. (1996)	mint:MINT-5220916|pubmed:8565075	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.51
intact:EBI-8660681|mint:MINT-13683	9606	human	P21796	VDAC1	10090	mouse	Q07813	Bax	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Narita et al. (1998)	mint:MINT-6548383|pubmed:9843949	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8660734|mint:MINT-13682	9606	human	P21796	VDAC1	10090	mouse	Q07813	Bax	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Narita et al. (1998)	mint:MINT-6548383|pubmed:9843949	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.54
intact:EBI-8663892|mint:MINT-13889	9606	human	P21796	VDAC1	10116	rat	P29117	Ppif	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0096""(pull down)"	Crompton et al. (1998)	mint:MINT-6548437|pubmed:9874241|doi:10.1046/j.1432-1327.1998.2580729	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.44
intact:EBI-7958558|mint:MINT-14818	9606	human	P49427	CDC34	9031	chick	P67869	CSNK2B	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0019""(coimmunoprecipitation)"	Block et al. (2001)	pubmed:11546811|mint:MINT-5214488	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.59
