interaction_id	host_taxid	host_organism	host_uniprot	host_gene	virus_taxid	virus_organism	virus_uniprot	virus_gene	interaction_type	detection_method	publication	publication_id	source_database	confidence
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P11717	IGF2R	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q70UQ0	IKBIP	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q27J81	INF2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O00410	IPO5	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P05556	ITGB1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9NQX7	ITM2C	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P23458	JAK1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q63ZY3	KANK2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q96J84	KIRREL1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P11047	LAMC1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q08380	LGALS3BP	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P28300	LOX	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9Y5V3	MAGED1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9UNF1	MAGED2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P55145	MANF	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P29966	MARCKS	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q96N66	MBOAT7	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P50281	MMP14	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9UBG0	MRC2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9Y6C9	MTCH2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9UKX2	MYH2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q13459	MYO9B	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9NZM1	MYOF	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q8NEY1	NAV1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O00483	NDUFA4	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q04721	NOTCH2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9UM47	NOTCH3	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9NRP0	OSTC	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P07237	P4HB	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9Y5G0	PCDHGB5	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P12004	PCNA	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q15113	PCOLCE	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P09619	PDGFRB	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P50479	PDLIM4	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q96HC4	PDLIM5	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9NR12	PDLIM7	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q6P996	PDXDC1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O75381	PEX14	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P17858	PFKL	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q01813	PFKP	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O00264	PGRMC1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O15173	PGRMC2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O43164	PJA2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q02809	PLOD1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O00469	PLOD2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q8IY17	PNPLA6	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q15165	PON2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q8IY26	PLPP6	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O75688	PPM1B	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P30153	PPP2R1A	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9UPN7	PPP6R1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q5H9R7	PPP6R3	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O60831	PRAF2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P10644	PRKAR1A	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P17980	PSMC3	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P43686	PSMC4	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q99460	PSMD1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O00487	PSMD14	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O43242	PSMD3	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P53801	PTTG1IP	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P49023	PXN	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9NXS2	QPCTL	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	O00391	QSOX1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q9NP72	RAB18	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q13637	RAB32	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q93062	RBPMS	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q14257	RCN2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	Q14699	RFTN1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P13489	RNH1	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
"intact:EBI-11725466|psi-mi:""MI:0471""|imex:IM-25307-225"	9606	human	P04844	RPN2	10377	ebvb9	P0CK56		"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0676""(tandem affinity purification)"	Rozenblatt-Rosen et al. (2012)	doi:10.1038/nature11288|pubmed:22810586|imex:IM-25307	"psi-mi:""MI:0471""(MINT)"	intact-miscore:0.35
